N	Z	Q(b3n)
67	54	-38972.564
66	55	-39697.875
65	56	1010
64	57	-39797
63	58	1010
62	59	1010
78	44	-4513.6
77	45	-5645.45
76	46	-10915.381
75	47	-12106.765
74	48	-17832.789
73	49	-18458.489
72	50	-25566.321
71	51	-26053.384
70	52	-31817.63
69	53	-31986.074
68	54	-37952.968
67	55	-38574.755
66	56	-44461
65	57	-33911
64	58	1010
63	59	1010
79	44	-3588.29
78	45	-4342.12
77	46	-10085.71
76	47	-10563.047
75	48	-16683.156
74	49	-17304.614
73	50	-24295.035
72	51	-24788.219
71	52	-30033.335
70	53	-30722.687
69	54	-36467.998
68	55	-36925.443
67	56	-42992
66	57	-37153
65	58	-38540
64	59	1010
80	44	-3112.37
79	45	-4052.81
78	46	-9101.74
77	47	-10219.552
76	48	-15738.854
75	49	-16495.79
74	50	-23536.563
73	51	-23932.881
72	52	-29346.507
71	53	-29659.513
70	54	-35337.928
69	55	-35966.03
68	56	-41573.165
67	57	1010
66	58	-41223
65	59	1010
64	60	1010
80	45	-2649.74
79	46	-8494.73
78	47	-8692.193
77	48	-14766.844
76	49	-15372.051
75	50	-22357.014
74	51	-22830.03
73	52	-27649.7
72	53	-28381.633
71	54	-33864.192
70	55	-34388.525
69	56	-40112.481
68	57	-40761
67	58	-36091
66	59	1010
65	60	1010
81	45	-2332.02
80	46	-7324.41
79	47	-8410.94
78	48	-13737.573
77	49	-14795.013
76	50	-21682.35
75	51	-22034.487
74	52	-27176.177
73	53	-27465.136
72	54	-32842.162
71	55	-33637.313
70	56	-38916.924
69	57	-39664.91
68	58	1010
67	59	-35439
66	60	1010
65	61	1010
81	46	-6549.69
80	47	-6903.31
79	48	-12533.815
78	49	-13432.159
77	50	-20501.523
76	51	-21066.457
75	52	-25548.114
74	53	-26152.879
73	54	-31370.296
72	55	-31943.917
71	56	-37492.096
70	57	-37994.772
69	58	-43750
68	59	-38587
67	60	1010
66	61	1010
82	46	-5551.97
81	47	-6749.83
80	48	-11613.74
79	49	-13056.699
78	50	-19937.498
77	51	-20317.657
76	52	-24987.806
75	53	-25368.062
74	54	-30453.093
73	55	-31030.197
72	56	-36407.077
71	57	-36797.503
70	58	-42424.161
69	59	1010
68	60	-42639
67	61	1010
66	62	1010
