N	Z	P1n	P2n	P3n
53	32	10.71	0.04	0
54	32	23.85	0	0
55	32	30.73	4.58	0
56	32	49.07	0.47	0
57	32	9.86	1.19	0
58	32	74.02	3.1	0.06
59	32	42.56	18.91	0.65
60	32	57.68	6.04	1.34
61	32	21.33	26.85	2.04
62	32	58.85	9.01	4.68
63	32	31.4	46.22	9.27
64	32	57.77	21.96	12.38
65	32	19.97	50.86	14.29
66	32	43.4	28.28	22.14
67	32	8.15	52.02	36.78
68	32	31.77	30.29	34.35
69	32	3.84	30.47	64.59
70	32	15.96	11.85	71.07
71	32	1.12	15.72	81.05
72	32	5.07	4.19	90.73
73	32	99.34	0	0
74	32	1.28	98.72	0
75	32	99.5	0	0
76	32	0.94	99.06	0
77	32	99.32	0	0
78	32	0.78	99.22	0
79	32	99.42	0	0
80	32	0	100	0
41	33	0	0	0
42	33	0	0	0
43	33	0	0	0
44	33	0	0	0
45	33	0	0	0
46	33	0	0	0
47	33	0	0	0
48	33	0	0	0
49	33	0	0	0
50	33	0	0	0
51	33	0.07	0	0
52	33	11.59	0	0
53	33	20.28	0.11	0
54	33	37.1	0	0
55	33	32.18	2.2	0
56	33	76.35	1.33	0
57	33	27.78	2.61	0
58	33	89.34	3.16	0.09
59	33	45.23	38.95	0.56
60	33	81.67	12.16	1.84
61	33	31.54	43.74	2.01
62	33	68.29	19.11	8.42
63	33	10.54	71.85	11.68
64	33	35.73	37.05	24.07
65	33	2.12	65.48	30.16
66	33	18.34	31.23	48.96
67	33	1.19	46.65	50.18
68	33	11.76	17.88	69.15
69	33	1.18	21.71	76.18
70	33	2.78	6.11	90.05
71	33	1.25	8.2	90.1
72	33	1.54	1.01	97.45
73	33	0	1.76	97.93
74	33	1.3	0	98.7
75	33	99.78	0	0
76	33	0.77	99.23	0
77	33	99.8	0	0
78	33	0.87	99.13	0
79	33	99.65	0	0
80	33	0.94	99.06	0
81	33	99.81	0	0
82	33	0.16	99.15	0
40	34	0	0	0
42	34	0	0	0
43	34	0	0	0
44	34	0	0	0
45	34	0	0	0
46	34	0	0	0
47	34	0	0	0
48	34	0	0	0
49	34	0	0	0
50	34	0	0	0
51	34	0	0	0
52	34	0	0	0
53	34	0.01	0	0
54	34	0.29	0	0
55	34	2.73	0	0
56	34	0.83	0	0
57	34	3.78	0.01	0
58	34	3.23	0	0
59	34	9.58	0.21	0
60	34	4.04	0.06	0
61	34	25.6	2.55	0
62	34	42.23	1.42	0
63	34	50.5	14.24	0.21
64	34	58.95	7.34	0.76
65	34	31.53	18.94	1.75
66	34	65.84	5.27	3.42
67	34	48.54	29.13	5.52
68	34	67.4	4.89	7.28
69	34	27.47	52.34	9.97
70	34	67.85	13.06	12.23
71	34	11.53	62.96	17.64
72	34	25.73	40.71	31.74
73	34	0.71	24.55	73.94
74	34	10.94	4.94	83.44
75	34	0.11	10.73	84.97
76	34	1.5	0.32	98.18
77	34	99.39	0	0
78	34	7.04	90.6	0
79	34	0.82	2.73	95.85
80	34	1.43	3.76	94.67
81	34	0.03	0.41	99.08
82	34	0.62	0.1	97.87
83	34	0.64	0.82	95.83
84	34	0	4.41	95.59
43	35	0	0	0
44	35	0	0	0
45	35	0	0	0
46	35	0	0	0
47	35	0	0	0
48	35	0	0	0
49	35	0	0	0
50	35	0	0	0
51	35	0	0	0
52	35	0.25	0	0
53	35	1.36	0	0
54	35	10.58	0	0
55	35	13.38	0	0
56	35	54.01	0	0
57	35	8.89	0.04	0
58	35	86.39	0.08	0
59	35	14.6	0.28	0
60	35	93.89	0.15	0
61	35	32.18	2.17	0
62	35	86.99	3.87	0.01
63	35	63.08	27.56	0.19
64	35	80.72	13.51	1.6
65	35	46.39	27.34	1.3
66	35	76.73	11.77	3.79
67	35	33.23	50.3	4.71
68	35	60.61	23.85	7.09
69	35	23.64	59.09	8.82
70	35	41.45	30.28	21.79
71	35	5.99	55.92	31.67
72	35	19.6	20.09	59.61
73	35	2.64	25.9	70.94
74	35	5.54	7.69	86.12
75	35	0	1.53	98.21
76	35	0.77	0.11	99.12
77	35	0	1.14	98.3
78	35	1.5	0.07	97.38
79	35	1.06	1.53	97.05
80	35	0.85	1.87	97.07
81	35	0.03	1.05	98.71
82	35	0.89	0.19	98.36
83	35	1.2	0.86	97.79
84	35	0.2	0.95	98.85
85	35	100	0	0
86	35	100	0	0
42	36	0	0	0
44	36	0	0	0
46	36	0	0	0
47	36	0	0	0
48	36	0	0	0
49	36	0	0	0
50	36	0	0	0
51	36	0	0	0
52	36	0	0	0
53	36	0	0	0
54	36	0	0	0
55	36	0	0	0
56	36	0.05	0	0
57	36	0.02	0	0
58	36	0.14	0	0
59	36	0.78	0	0
