N	Z	Q(bn)
77	43	8975
76	44	4740
75	45	4522.6
74	46	294.243
73	47	254.303
72	48	-4329.173
71	49	-3734.84
70	50	-9695.688
69	51	-9308.086
68	52	-13673.97
67	53	-13030.093
66	54	-17938.685
65	55	-17369.87
64	56	-21992
63	57	-21709
62	58	1010
77	44	5696
76	45	5778.56
75	46	1397.853
74	47	1483.215
73	48	-3416.552
72	49	-2808.907
71	50	-8850.821
70	51	-8301.706
69	52	-12862.399
68	53	-12150.535
67	54	-16663.664
66	55	-16285.015
65	56	-21128
64	57	-20544
63	58	1010
62	59	1010
78	44	5948
77	45	5937.85
76	46	1715.349
75	47	1896.405
74	48	-2847.509
73	49	-2446.789
72	50	-8414.291
71	51	-7860.674
70	52	-12134.12
69	53	-11670.774
68	54	-16323.958
67	55	-15471.235
66	56	-20410
65	57	-19845
64	58	-24326
63	59	1010
79	44	6740
78	45	7036
77	46	2617.71
76	47	2992.983
75	48	-1912.546
74	49	-1560.224
73	50	-7554.085
72	51	-6981.699
71	52	-11163.015
70	53	-10660.047
69	54	-15175.248
68	55	-14506.023
67	56	-19183
66	57	-18849
65	58	-23413
64	59	1010
80	44	7018
79	45	7178
78	46	2922.63
77	47	3142.728
76	48	-1342.534
75	49	-1125.14
74	50	-7080.733
73	51	-6520.181
72	52	-10652.907
71	53	-10188.343
70	54	-14688.728
69	55	-14147.7
68	56	-18510.165
67	57	-18044
66	58	-22649
65	59	1010
64	60	1010
80	45	8276
79	46	3906.58
78	47	4400.117
77	48	-549.194
76	49	-313.921
75	50	-6346.734
74	51	-5802.27
73	52	-9728.56
72	53	-9247.453
71	54	-13532.992
70	55	-13069.385
69	56	-17481.671
68	57	-16915
67	58	-21578
66	59	-21578
65	60	1010
81	45	8388
80	46	4144
79	47	4496.98
78	48	148.717
77	49	52.177
76	50	-5830.35
75	51	-5441.647
74	52	-9299.457
73	53	-8789.606
72	54	-13129.042
71	55	-12752.803
70	56	-16981.734
69	57	-16386.91
68	58	-20860
67	59	-20796
66	60	1010
65	61	1010
81	46	5268
80	47	5603.97
79	48	1211.095
78	49	1045.671
77	50	-5149.263
76	51	-4705.467
75	52	-8441.674
74	53	-7909.649
73	54	-12042.406
72	55	-11641.567
71	56	-15915.796
70	57	-15146.872
69	58	-19727
68	59	-19622
67	60	-24409
66	61	1010
82	46	5640
81	47	5517.31
80	48	1585.09
79	49	1253.961
78	50	-4733.858
77	51	-4419.957
76	52	-8081.166
75	53	-7488.482
74	54	-11691.443
73	55	-11184.937
72	56	-15554.117
71	57	-14717.413
70	58	-19062.161
69	59	-18867
68	60	-23600
67	61	1010
66	62	1010
82	47	6960
81	48	2565.74
80	49	2452.81
79	50	-4048.116
78	51	-3706.91
77	52	-7337.445
76	53	-6718.185
75	54	-10835.815
74	55	-10191.664
73	56	-14509.175
72	57	-13862.017
71	58	-18028.058
70	59	-17531
69	60	-22601
68	61	-22221
67	62	1010
83	47	9518
82	48	3232.71
81	49	2651.92
80	50	-3574.844
79	51	-3352.749
78	52	-6917.122
77	53	-6311.413
76	54	-10452.529
75	55	-9907.768
74	56	-14008.439
73	57	-13411.191
72	58	-17720.668
71	59	-16932.225
70	60	-21786
69	61	-21327
68	62	1010
67	63	1010
83	48	6481.96
82	49	4035.966
81	50	-3057.182
