N_stab	Z_stab	N	Z	N_P	Z_P	P1n	P2n	P3n	Ele_MOE
0	0	26	31	49	25	39.52	28.05	4.87	Mn
0	0	38	20	50	25	73.03	14.11	10.84	Mn
0	0	37	21	51	25	37.01	41.5	19.02	Mn
0	0	36	22	52	25	19.61	32.91	47.49	Mn
0	0	35	23	53	25	0	18.25	81.15	Mn
0	0	34	24	54	25	1.73	0.04	98.23	Mn
0	0	33	25	55	25	99.46	0	0	Mn
0	0	32	26	56	25	1.04	98.96	0	Mn
0	0	31	27	57	25	99.58	0	0	Mn
0	0	30	28	58	25	0.56	99.44	0	Mn
0	0	29	29	59	25	99.55	0	0	Mn
0	0	28	30	60	25	0	100	0	Mn
0	0	27	31	61	25	99.71	0	0	Mn
0	0	26	32	62	25	0	100	0	Mn
0	0	38	21	63	25	99.64	0	0	Mn
0	0	37	22	64	25	0	100	0	Mn
0	0	36	23	28	26	0	0	0	Fe
0	0	35	24	30	26	0	0	0	Fe
0	0	34	25	31	26	0	0	0	Fe
0	0	33	26	32	26	0	0	0	Fe
0	0	32	27	33	26	0	0	0	Fe
0	0	31	28	34	26	0	0	0	Fe
0	0	30	29	35	26	0	0	0	Fe
0	0	29	30	36	26	0	0	0	Fe
0	0	28	31	37	26	0	0	0	Fe
0	0	27	32	38	26	0	0	0	Fe
0	0	39	21	39	26	0	0	0	Fe
0	0	38	22	40	26	0.01	0	0	Fe
0	0	37	23	41	26	0.98	0	0	Fe
0	0	36	24	42	26	1.8	0	0	Fe
0	0	35	25	43	26	5.33	0	0	Fe
0	0	34	26	44	26	11.17	0	0	Fe
0	0	33	27	45	26	20.53	0.25	0	Fe
0	0	32	28	46	26	20.02	0	0	Fe
0	0	31	29	47	26	33.97	3.74	0	Fe
0	0	30	30	48	26	44.04	0.79	0	Fe
0	0	29	31	49	26	51.91	15.15	0.01	Fe
0	0	28	32	50	26	68.35	9.95	0.12	Fe
0	0	27	33	51	26	38.89	50.21	2.11	Fe
0	0	40	21	52	26	28.54	37.85	27.31	Fe
0	0	39	22	53	26	1.28	47.99	46.9	Fe
0	0	38	23	54	26	5.54	4.43	88.18	Fe
0	0	37	24	55	26	0.13	30.76	67.81	Fe
0	0	36	25	56	26	3.26	0.6	96.14	Fe
0	0	35	26	57	26	99.02	0	0	Fe
0	0	34	27	58	26	1.99	98.01	0	Fe
0	0	33	28	59	26	98.26	0	0	Fe
0	0	32	29	60	26	1.17	98.83	0	Fe
0	0	31	30	61	26	99.26	0	0	Fe
0	0	30	31	62	26	1.13	98.87	0	Fe
0	0	29	32	63	26	99.3	0	0	Fe
0	0	28	33	64	26	0	100	0	Fe
0	0	40	22	65	26	99.49	0	0	Fe
0	0	39	23	66	26	0	100	0	Fe
0	0	38	24	31	27	0	0	0	Co
0	0	37	25	32	27	0	0	0	Co
