N	Z	P1n	P2n	P3n	P4n	P5n
73	29	0	0	0	0.1	98.9
35	30	0	0	0	0	0
39	30	0	0	0	0	0
41	30	0	0	0	0	0
42	30	0	0	0	0	0
43	30	0	0	0	0	0
44	30	0	0	0	0	0
45	30	1.2	0	0	0	0
46	30	1.6	0	0	0	0
47	30	2.6	0.7	0	0	0
48	30	4	0.4	0	0	0
49	30	10.5	1.3	0.3	0	0
50	30	30.8	1	0.5	0	0
51	30	26.8	2.2	0.4	0.3	0.1
52	30	39.3	2	0.6	0.2	0.1
53	30	34.6	14.4	0.8	0.5	0.4
54	30	12.3	16.4	2.3	0.4	0.5
55	30	12	17.7	5.1	1.4	0.8
56	30	13.5	10	10	0.8	1
57	30	19.9	9	12.1	4.8	1.4
58	30	16.8	4.5	14.2	2.6	1.6
59	30	27.4	11.3	4.2	13.7	3.3
60	30	22.2	4	9.2	7.7	4.1
61	30	20.8	57.7	3.3	3.1	4.1
62	30	65	6	3.5	1.7	4
63	30	6.2	64.3	11.3	4.5	6.3
64	30	51.7	20.2	6.3	1.7	6.1
65	30	1.8	20.1	39.3	23.5	9.7
66	30	15.9	33.3	28.5	3.2	9
67	30	0.7	4.9	5.7	48.6	36.2
68	30	6.5	5	41.8	20.9	18.2
69	30	0	2.2	1	8.5	85.1
70	30	2.2	1.2	5.8	5	80.1
71	30	0	0.4	0.2	1.5	95.6
72	30	0.1	0	0.8	0.4	95.7
73	30	0	0	0	0.3	97.8
75	30	0	0	0	0.1	98.5
39	31	0	0	0	0	0
41	31	0	0	0	0	0
42	31	0	0	0	0	0
43	31	0	0	0	0	0
44	31	0.9	0	0	0	0
45	31	2	0.2	0	0	0
46	31	2.5	0	0	0	0
47	31	2.3	0.8	0	0	0
48	31	6.4	0.5	0	0	0
49	31	21.9	1.3	0.3	0.1	0
50	31	58.8	1.1	0.5	0	0
51	31	29.3	2.9	0.3	0.3	0.1
52	31	65.5	3.6	0.7	0.2	0.2
53	31	52.6	20.5	0.9	0.5	0.3
54	31	75.3	5.8	3.1	0.4	0.5
55	31	43.5	36.2	2.9	1.2	0.7
56	31	79.7	5.1	4.5	0.5	1
57	31	22.8	61.4	2.1	2.2	1.1
58	31	61	7.3	13.7	2.6	1.8
59	31	17.7	49.5	3.1	13.5	2.4
60	31	69.4	15.5	5.8	1.8	2.2
61	31	3.4	79.4	4.7	4.2	3
62	31	31.9	47.1	10.5	1.6	3.9
63	31	1.4	54.8	25.5	9.1	5.2
64	31	10.5	24.9	52.4	2.1	6.2
65	31	0.6	10.3	17.7	59.3	8.9
66	31	5	5.1	69.3	6.7	10.7
67	31	0.2	3.4	2.8	59	32
68	31	2.6	1.3	20.7	27.5	45.1
69	31	0	1.5	0.3	10.8	85.3
70	31	1.3	0.2	6.4	2.8	87
71	31	0	0.5	0	1.7	96
72	31	0.3	0	1	0.2	96.6
73	31	0	0.2	0	0.5	97.9
74	31	0	0	0.2	0	98.3
75	31	0	0	0	0.2	98.5
77	31	0	0	0	0.1	98.8
39	32	0	0	0	0	0
43	32	0	0	0	0	0
45	32	0	0	0	0	0
46	32	0	0	0	0	0
47	32	0.5	0	0	0	0
48	32	0.2	0	0	0	0
49	32	1.2	0.2	0	0	0
50	32	2.1	0.1	0	0	0
