N	Z	bn	b2n
62	47	2	2
61	48	2	2
60	49	2	2
59	50	2	2
58	51	2	2
57	52	2	2
56	53	0	0
55	54	0	0
70	40	1	1
69	41	1	1
68	42	2	2
67	43	2	2
66	44	2	2
65	45	2	2
64	46	2	2
63	47	2	2
62	48	2	2
61	49	2	2
60	50	2	2
59	51	2	2
58	52	2	2
57	53	2	0
56	54	0	0
71	40	1	1
70	41	1	1
69	42	2	2
68	43	2	2
67	44	2	2
66	45	2	2
65	46	2	2
64	47	2	2
63	48	2	2
62	49	2	2
61	50	2	2
60	51	2	2
59	52	2	2
58	53	2	2
57	54	0	0
72	40	1	1
71	41	1	1
70	42	1	1
69	43	2	2
68	44	2	2
67	45	2	2
66	46	2	2
65	47	2	2
64	48	2	2
63	49	2	2
62	50	2	2
61	51	2	2
60	52	2	2
59	53	2	2
58	54	0	0
57	55	0	0
72	41	1	1
71	42	1	1
70	43	2	2
69	44	2	2
68	45	2	2
67	46	2	2
66	47	2	2
65	48	2	2
64	49	2	2
63	50	2	2
62	51	2	2
61	52	2	2
60	53	2	2
59	54	2	0
58	55	0	0
73	41	1	1
72	42	1	1
71	43	1	1
70	44	2	2
69	45	2	2
68	46	2	2
67	47	2	2
66	48	2	2
65	49	2	2
64	50	2	2
63	51	2	2
62	52	1	1
61	53	1	1
60	54	2	2
59	55	0	0
58	56	0	0
74	41	1	1
73	42	1	1
72	43	1	1
71	44	2	2
70	45	2	2
69	46	2	2
68	47	2	2
67	48	2	2
66	49	2	2
65	50	2	2
64	51	2	2
63	52	1	2
62	53	1	2
61	54	1	1
60	55	1	0
59	56	0	0
74	42	1	1
73	43	1	1
72	44	2	2
71	45	2	2
70	46	2	2
69	47	2	2
68	48	2	2
67	49	2	2
66	50	2	2
65	51	2	2
64	52	2	2
63	53	2	1
62	54	1	1
61	55	1	1
60	56	0	0
59	57	0	0
75	42	1	1
74	43	1	1
73	44	2	2
72	45	2	2
71	46	2	2
70	47	2	2
69	48	2	2
68	49	2	2
67	50	2	2
66	51	2	2
65	52	2	2
64	53	2	2
63	54	1	2
62	55	1	1
61	56	1	0
60	57	0	0
75	43	1	1
74	44	1	1
73	45	2	2
72	46	2	2
71	47	2	2
70	48	2	2
69	49	2	2
68	50	2	2
67	51	2	2
66	52	2	2
65	53	2	2
64	54	2	1
63	55	1	1
62	56	1	1
61	57	0	0
76	43	1	1
75	44	1	1
74	45	2	2
73	46	2	2
72	47	2	2
71	48	2	2
70	49	2	2
69	50	2	2
68	51	2	2
67	52	2	2
66	53	2	2
65	54	2	2
64	55	1	2
63	56	1	1
62	57	0	0
61	58	0	0
77	43	1	1
76	44	1	1
75	45	1	1
74	46	2	2
73	47	2	2
72	48	2	2
71	49	2	2
70	50	2	2
69	51	2	2
68	52	2	2
67	53	2	2
66	54	2	2
65	55	2	1
64	56	1	1
63	57	1	0
62	58	0	0
77	44	1	1
76	45	1	1
75	46	2	2
74	47	2	2
73	48	2	2
72	49	2	2
71	50	2	2
70	51	2	2
69	52	2	2
68	53	2	2
67	54	2	2
66	55	2	2
65	56	1	1
64	57	1	1
63	58	0	0
62	59	0	0
78	44	1	1
77	45	1	1
76	46	2	2
75	47	2	2
74	48	2	2
73	49	2	2
72	50	2	2
71	51	2	2
70	52	2	2
69	53	2	2
68	54	2	2
67	55	2	2
66	56	1	1
65	57	1	1
64	58	1	0
63	59	0	0
79	44	1	1
78	45	1	1
77	46	1	1
76	47	2	2
75	48	2	2
74	49	2	2
73	50	2	2
72	51	2	2
71	52	2	2
70	53	2	2
69	54	2	2
68	55	2	2
67	56	1	1
